# PROGRESSO — Retradução humana Fase 8.A (2.180 templates de classe)
# Último lote com OK = ponto de retomada. Commits locais: git log --oneline.
# Se a cota expirar, retomar do primeiro lote SEM linha OK.

01 | 50 | OK
02 | 50 | OK
03 | 50 | OK
04 | 50 | OK
05 | 50 | OK
06 | 50 | OK
07 | 50 | OK
08 | 50 | OK
09 | 50 | OK
10 | 50 | OK
11 | 50 | OK
12 | 50 | OK
13 | 50 | OK
14 | 50 | OK
15 | 50 | OK
16 | 50 | OK
17 | 50 | OK
18 | 50 | OK
19 | 50 | OK
20 | 50 | OK
21 | 50 | OK
22 | 50 | OK
23 | 50 | OK
24 | 50 | OK
25 | 50 | OK
26 | 50 | OK
27 | 50 | OK
28 | 50 | OK
29 | 50 | OK
30 | 50 | OK
31 | 50 | OK (+fix Shred->Triturar em 18/20/22/28)
32 | 50 | OK
33 | 50 | OK
34 | 50 | OK
35 | 50 | OK
36 | 50 | OK
37 | 50 | OK
38 | 50 | OK
39 | 2 | OK (fila 1-39 zerada; gerados input 40-45 p/ 278 restantes)
40 | 50 | OK (revisao: 11 corrigidos)
41 | 50 | OK (revisao: 16 corrigidos)
42 | 50 | OK (revisao: 22 corrigidos)
43 | 50 | OK (revisao: 21 corrigidos)
44 | 50 | OK (revisao totem: 7 corrigidos)
45 | 28 | OK (revisao final: 11 corrigidos)
# FASE 8.A COMPLETA: 2.180/2.180 templates com PT (verificado via script).
# ONDA ORFAOS TURTLE (mpq_work: 1.102 templates, lotes O01-O23):
O01 | 37u | OK
O02 | 37u | OK
O03 | 44u | OK
O04 | 33u | OK
O05 | 37u | OK
O06 | 23u | OK
O07 | 23u | OK
O08 | 13u | OK
O09 | 24u | OK
O10 | 29u | OK
O11 | 32u | OK
O12 | 24u | OK
O13 | 23u | OK
O14 | 32u | OK
O15 | 40u | OK
O16 | 29u | OK
O17 | 21u | OK (incl. REVOGACAO TOTEMICA corrigida)
O18 | 37u | OK
O19 | 29u | OK
O20 | 29u | OK
O21 | 23u | OK
O22 | 21u | OK
O23 | 1u | OK
# ONDA ORFAOS TURTLE COMPLETA (patch-MPQ..patch-7): 1.102 templates player-facing (customs + modificadas).
# VARREDURA MPQ COMPLETA (patch..patch-9, gap patch-4 fechado, mpyq listfile=False 20/09/2026):
# CUSTOM 11612 + MODIFICADOS 3925 = ORFAOS 2584 (player 497 / cauda 2087) | patch-9:523 patch-8:419 | fila 3959 (497 novos + 3462 review)
O24 | 31 | OK (mpq_queue 497 em 10 lotes, oids 586..58239)
O25 | 25 | OK
O26 | 20 | OK
O27 | 21 | OK
O28 | 31 | OK (28 EN unicos + 3 dedup)
O29 | 29 | OK
O30 | 39 | OK (50 oids 34737..46044)
O31 | 25 | OK (50 oids 46045..51435)
O32 | 28 | OK (50 oids 51436..51729)
O33 | 29 | OK (47 oids 51786..58239) FINAL O24-O33
# ONDA ORFAOS TURTLE COMPLETA ATUALIZADA: 1.102 + 497 = 1.599 templates player-facing (+ patch-8/9)
# SMS EFETIVO other (183, lotes S01-S04):
S01 | 50 | OK
S02 | 50 | OK
S03 | 50 | OK
S04 | 33 | OK (SMS other zerado: 183/183)
# FASE 8.C — TAIL NPC (2.087 templates: 1.731 novos em T01-T35 + 356 revisão em T36-T43):
T01 | 50 (43u) | OK
T02 | 50 | OK
T03 | 50 (46u) | OK
T04 | 50 (49u) | OK
T05 | 50 | OK
T06 | 50 | OK
T07 | 50 (49u) | OK
T08 | 50 (49u) | OK
T09 | 50 (22u) | OK
T10 | 50 (41u) | OK
T11 | 50 (46u) | OK










